time_step,topic_name,member_id,interest,status,is_intervening
0,amp.audio.asking,0,4.3288,active,0
0,amp.audio.asking,1,7.8119,active,0
0,amp.audio.asking,2,4.7518,active,0
0,amp.audio.asking,3,6.4097,active,0
1,moral.morality.objective,0,4.9767,at_risk,0
1,moral.morality.objective,1,7.8507,active,0
1,moral.morality.objective,2,5.2959,at_risk,0
1,moral.morality.objective,3,6.9608,active,0
2,game.team.games,0,4.8451,at_risk,0
2,game.team.games,1,7.7739,active,0
2,game.team.games,2,5.2416,at_risk,0
2,game.team.games,3,6.8434,active,0
3,post.jim.cs colorado,0,4.8063,at_risk,0
3,post.jim.cs colorado,1,7.7863,active,0
3,post.jim.cs colorado,2,5.2034,at_risk,0
3,post.jim.cs colorado,3,6.8142,active,0
4,amp.audio.asking,0,4.3288,at_risk,0
4,amp.audio.asking,1,7.8119,active,0
4,amp.audio.asking,2,4.7518,at_risk,0
4,amp.audio.asking,3,6.4097,active,0
5,printer.print.hp,0,4.3054,at_risk,0
5,printer.print.hp,1,7.6562,active,0
5,printer.print.hp,2,4.8705,at_risk,0
5,printer.print.hp,3,6.3824,active,0
6,bike.bikes.miles,0,4.6028,at_risk,0
6,bike.bikes.miles,1,7.9240,active,0
6,bike.bikes.miles,2,4.8489,at_risk,0
6,bike.bikes.miles,3,6.6256,active,0
7,patients.medical.doctor,0,4.8333,at_risk,0
7,patients.medical.doctor,1,7.8648,active,0
7,patients.medical.doctor,2,5.1998,at_risk,0
7,patients.medical.doctor,3,6.8548,active,0
8,key.clipper.encryption,0,4.6330,at_risk,0
8,key.clipper.encryption,1,7.7783,active,0
8,key.clipper.encryption,2,5.0669,at_risk,0
8,key.clipper.encryption,3,6.6636,active,0
9,car.cars.engine,0,4.5611,at_risk,0
9,car.cars.engine,1,7.9064,active,0
9,car.cars.engine,2,4.8283,at_risk,0
9,car.cars.engine,3,6.5876,active,0
10,game.team.games,0,4.8451,at_risk,0
10,game.team.games,1,7.7739,active,0
10,game.team.games,2,5.2416,at_risk,0
10,game.team.games,3,6.8434,active,0
11,moral.morality.objective,0,4.9767,at_risk,0
11,moral.morality.objective,1,7.8507,active,0
11,moral.morality.objective,2,5.2959,at_risk,0
11,moral.morality.objective,3,6.9608,active,0
12,bike.bikes.miles,0,4.6028,at_risk,0
12,bike.bikes.miles,1,7.9240,active,0
12,bike.bikes.miles,2,4.8489,at_risk,0
12,bike.bikes.miles,3,6.6256,active,0
13,moral.morality.objective,0,4.9767,at_risk,0
13,moral.morality.objective,1,7.8507,active,0
13,moral.morality.objective,2,5.2959,at_risk,0
13,moral.morality.objective,3,6.9608,active,0
14,amp.audio.asking,0,4.3288,at_risk,0
14,amp.audio.asking,1,7.8119,active,0
14,amp.audio.asking,2,4.7518,at_risk,0
14,amp.audio.asking,3,6.4097,active,0
