time_step,topic_name,member_id,interest,status,is_intervening
0,amp.audio.asking,0,5.7155,active,0
0,amp.audio.asking,1,4.3834,active,0
0,amp.audio.asking,2,5.4753,active,0
0,amp.audio.asking,3,5.7728,active,0
1,moral.morality.objective,0,5.6497,active,0
1,moral.morality.objective,1,4.9203,at_risk,0
1,moral.morality.objective,2,5.6515,active,0
1,moral.morality.objective,3,6.0067,active,0
2,bike.bikes.miles,0,5.6994,active,0
2,bike.bikes.miles,1,4.5504,at_risk,0
2,bike.bikes.miles,2,5.3917,active,0
2,bike.bikes.miles,3,5.7694,active,0
3,patients.medical.doctor,0,5.7094,active,0
3,patients.medical.doctor,1,4.9094,at_risk,0
3,patients.medical.doctor,2,5.6132,active,0
3,patients.medical.doctor,3,6.0368,active,0
4,god.atheists.atheism,0,5.5613,active,0
4,god.atheists.atheism,1,5.0671,at_risk,0
4,god.atheists.atheism,2,5.7465,active,0
4,god.atheists.atheism,3,6.0814,active,0
5,gun.guns.firearms,0,5.6986,active,0
5,gun.guns.firearms,1,4.7343,at_risk,0
5,gun.guns.firearms,2,5.6374,active,0
5,gun.guns.firearms,3,5.9383,active,0
6,card.monitor.video,0,5.8007,active,0
6,card.monitor.video,1,4.4328,at_risk,0
6,card.monitor.video,2,5.4952,active,0
6,card.monitor.video,3,5.8660,active,0
7,bike.riding.ride,0,5.6862,active,0
7,bike.riding.ride,1,4.5955,at_risk,0
7,bike.riding.ride,2,5.4145,active,0
7,bike.riding.ride,3,5.7862,active,0
8,fbi.batf.koresh,0,5.6861,active,0
8,fbi.batf.koresh,1,4.7411,at_risk,0
8,fbi.batf.koresh,2,5.7197,active,0
8,fbi.batf.koresh,3,5.9721,active,0
9,car.cars.engine,0,5.7179,active,0
9,car.cars.engine,1,4.5354,at_risk,0
9,car.cars.engine,2,5.4017,active,0
9,car.cars.engine,3,5.7840,active,0
10,moral.morality.objective,0,5.6497,active,0
10,moral.morality.objective,1,4.9203,at_risk,0
10,moral.morality.objective,2,5.6515,active,0
10,moral.morality.objective,3,6.0067,active,0
11,amp.audio.asking,0,5.7155,active,0
11,amp.audio.asking,1,4.3834,at_risk,0
11,amp.audio.asking,2,5.4753,active,0
11,amp.audio.asking,3,5.7728,active,0
12,printer.print.hp,0,5.7166,active,0
12,printer.print.hp,1,4.4410,at_risk,0
12,printer.print.hp,2,5.6352,active,0
12,printer.print.hp,3,5.8844,active,0
13,amp.audio.asking,0,5.7155,active,0
13,amp.audio.asking,1,4.3834,at_risk,0
13,amp.audio.asking,2,5.4753,active,0
13,amp.audio.asking,3,5.7728,active,0
14,israel.israeli.jews,0,5.5935,active,0
14,israel.israeli.jews,1,4.8052,at_risk,0
14,israel.israeli.jews,2,5.8668,active,0
14,israel.israeli.jews,3,6.0111,active,0
15,armenian.turkish.armenians,0,5.5879,active,0
15,armenian.turkish.armenians,1,4.8017,at_risk,0
15,armenian.turkish.armenians,2,5.8818,active,0
15,armenian.turkish.armenians,3,6.0147,active,0
